2026-03-09T13:21:13.484Z | SHORT | BTC  |     0.0008 | $   68220.5 | Price below EMA 200 ($71320.91), slope ↘ falling
2026-03-09T13:21:14.000Z | SHORT | SOL  |        0.7 | $   84.1415 | Price below EMA 200 ($91.33), slope ↘ falling
2026-03-09T13:21:14.529Z | LONG  | HYPE |        1.8 | $   31.9145 | Price above EMA 200 ($29.69), slope ↗ rising
2026-03-09T13:26:05.880Z | LONG  | VVV  |       11.1 | $    5.3143 | Price above EMA 200 ($4.46), slope ↗ rising
2026-03-09T13:26:06.491Z | LONG  | GRASS |      173.8 | $   0.34014 | Price above EMA 200 ($0.25), slope ↗ rising
2026-03-09T13:26:07.009Z | LONG  | MORPHO |         31 | $   1.90365 | Price above EMA 200 ($1.60), slope ↗ rising
2026-03-09T13:26:07.546Z | SHORT | IP   |       75.7 | $    0.7813 | Price below EMA 200 ($1.17), slope ↘ falling
2026-03-09T13:26:08.098Z | SHORT | OP   |      495.8 | $   0.11927 | Price below EMA 200 ($0.16), slope ↘ falling
2026-03-09T13:26:08.364Z | SHORT | AR   |       36.7 | $    1.6095 | Price below EMA 200 ($2.02), slope ↘ falling
2026-03-09T13:31:43.440Z | SHORT | MERL |     1651.6 | $  0.036091 | Price below EMA 200 ($0.06), slope ↘ falling
2026-03-09T13:58:14.955Z | SHORT | BTC  |     0.0008 | $   69030.5 | Price below EMA 200 ($71328.84), slope ↘ falling
2026-03-09T13:58:16.698Z | SHORT | SOL  |        0.7 | $   85.3275 | Price below EMA 200 ($91.35), slope ↘ falling
2026-03-09T13:58:18.866Z | LONG  | VVV  |       11.1 | $     5.427 | Price above EMA 200 ($4.46), slope ↗ rising
2026-03-09T13:58:21.273Z | LONG  | GRASS |      176.9 | $   0.34216 | Price above EMA 200 ($0.25), slope ↗ rising
2026-03-09T13:58:22.848Z | LONG  | MORPHO |       31.5 | $   1.92175 | Price above EMA 200 ($1.60), slope ↗ rising
2026-03-09T13:58:24.162Z | SHORT | IP   |       77.2 | $   0.78334 | Price below EMA 200 ($1.17), slope ↘ falling
2026-03-09T13:58:26.094Z | SHORT | OP   |      506.1 | $    0.1196 | Price below EMA 200 ($0.16), slope ↘ falling
2026-03-09T13:58:27.639Z | SHORT | AR   |       37.3 | $    1.6224 | Price below EMA 200 ($2.02), slope ↘ falling
2026-03-09T13:58:29.221Z | SHORT | MERL |     1675.1 | $  0.036139 | Price below EMA 200 ($0.06), slope ↘ falling
2026-03-09T14:03:09.961Z | SHORT | BTC  |     0.0008 | $   69146.5 | Price below EMA 200 ($71330.09), slope ↘ falling
2026-03-09T14:03:11.539Z | SHORT | SOL  |        0.7 | $   85.3845 | Price below EMA 200 ($91.35), slope ↘ falling
